osm_type,name,surveillance_type,opening_hours,latitude,longitude
node,7-Eleven,,24/7,14.5610038,120.993311
node,Uncle John's,,06:00-00:00,14.5596049,120.9878906
node,Savemore,,,14.6122934,121.0323776
node,Unnamed Convenience Store,,08:00-20:00,14.5598473,120.9872539
node,Garcia's,,,14.6210683,121.0222683
node,Unnamed Convenience Store,,08:00-20:00,14.711778,121.075133
node,Unnamed Convenience Store,,08:00-20:00,14.6103278,121.0553923
node,Unnamed Convenience Store,,08:00-20:00,14.610843,121.0552158
node,7-Eleven,,24/7,14.659916,121.0262414
node,7-Eleven,,24/7,14.6571113,121.019204
node,7-Eleven,,24/7,14.61954,120.9854788
node,Anson Supermarket,,,14.6287501,121.0648375
node,FamilyMart,,24/7,14.6447253,121.0444095
node,7-Eleven,,24/7,14.6559332,121.0238614
node,Uncle John's,,24/7,14.5980019,120.9965614
node,Robinsons Easymart,,,14.6181278,121.0076813
node,Don Bosco Market,,,14.6160804,120.9623576
node,Adarna Drugstore & Grocery,,,14.6944247,121.0782072
node,7-Eleven,,24/7,14.6016443,121.0021806
node,7-Eleven,,24/7,14.6109366,121.0789915
node,Family Mart,,24/7,14.6088596,121.0796622
node,Uncle John's,,24/7,14.6069748,121.0790335
node,SM Supermart,,,14.618418,121.056054
node,Uncle John's,,24/7,14.6183814,121.0574161
node,7-Eleven,,24/7,14.6204914,121.0568273
node,Treats,,,14.6109053,121.0537167
node,7-Eleven,,24/7,14.6187974,121.0536159
node,Talipapa,,,14.6918618,121.0783967
node,7-Eleven,,24/7,14.6259859,121.0110487
node,7-Eleven,,24/7,14.6332707,121.0433727
node,Unnamed Convenience Store,,08:00-20:00,14.6110223,121.0548363
node,Unnamed Convenience Store,,08:00-20:00,14.6574917,121.0068115
node,7-Eleven,,24/7,14.6642653,121.0679777
node,Uncle John's,,24/7,14.653237,121.0528206
node,7-Eleven,,24/7,14.5932718,120.9774564
node,Unnamed Convenience Store,,08:00-20:00,14.5948917,120.993914
node,Uncle John's,,24/7,14.5879059,120.9777001
node,Police Station,,,14.5941953,120.9788065
node,7-Eleven,,24/7,14.5893165,120.9781814
node,7-Eleven,,24/7,14.5791977,120.97829
node,7-Eleven,,24/7,14.5787502,120.9822756
node,7-Eleven,,24/7,14.5788599,120.9795298
node,Puregold,,,14.5799825,120.9812698
node,Uncle John's,,24/7,14.5798012,120.9813805
node,7-Eleven,,24/7,14.5810136,120.9798948
node,Lawson,,,14.5824145,120.9842356
node,7-Eleven,,24/7,14.5817069,120.9814709
node,7-Eleven,,24/7,14.5767385,120.9804487
node,Uncle John's,,24/7,14.5768255,120.980635
node,Uncle John's,,24/7,14.5934924,120.9737666
node,Unnamed Convenience Store,,08:00-20:00,14.5921529,120.9782835
node,Uncle John's,,06:00-00:00,14.6349426,121.0431262
node,7-Eleven,,24/7,14.5827642,120.9860607
node,EAC Outpost,,,14.5819555,120.9861761
node,Uncle John's,,24/7,14.5818968,120.9863214
node,Robinsons Easymart,,,14.7059228,121.068964
node,7-Eleven,,24/7,14.7062089,121.073424
node,Mighty Mart,,,14.6993074,121.0677996
node,7-Eleven,,24/7,14.6993352,121.0602959
node,Unnamed Convenience Store,,08:00-20:00,14.6516817,121.0130206
node,Uncle John's,,24/7,14.657112,121.0560389
node,Uncle John's,,06:00-00:00,14.6232168,120.998944
node,Golden Pagoda Housewares,,,14.6553485,121.0182356
node,Uncle John's,,24/7,14.6186459,121.0099674
node,7-Eleven,,24/7,14.6750813,121.0433371
node,7-Eleven,,24/7,14.619695,121.0505295
node,Come N Shop,,,14.6565986,121.0196974
node,Robinsons Easymart,,Mo-Su 09:00-21:00,14.6391198,121.0310226
node,Uncle John's,,24/7,14.636735,121.0525103
node,MiniStreet,,,14.6097521,121.0368801
node,Bodega ng Bayan,,,14.656338,121.0193543
node,Ever Supermarket,,,14.6332746,121.0204391
node,Uncle John's,,24/7,14.5723124,120.9831024
node,Rollibee Enterprizes,,,14.6818614,121.054642
node,Quezon City Fil-Chi Volunteer Fire Brigade Ass'n.,,,14.615719,121.0177193
node,Uncle John's,,24/7,14.6065183,121.0785312
node,Shell Select,,24/7,14.5656426,120.9867903
node,Get Go,,,14.6070373,121.0784274
node,BonChon Chicken,,,14.6052893,121.0788399
node,7-Eleven,,24/7,14.6319145,120.980271
node,Dali,,07:00-22:00,14.5776622,120.9922694
node,7-Eleven,,24/7,14.5786273,120.9953962
node,7-Eleven,,24/7,14.6205877,121.0198731
node,Uncle John's,,06:00-00:00,14.6400833,121.03518
node,Lawson,,24/7,14.6404357,121.0355798
node,Uncle John's,,06:00-00:00,14.6400028,121.0357352
node,KVI Store,,,14.6579238,121.0191932
node,7-Eleven,,24/7,14.6904602,121.0275282
node,Treats,,,14.708406,121.0621208
node,7-Eleven,,24/7,14.6438472,121.0481768
node,Tondo Convenience Store,,,14.6204103,120.9655918
node,Cheers Minimart,,,14.6245889,121.0484024
node,Tourist Police Station,,,14.5824944,120.9814114
node,Uncle John's,,06:00-00:00,14.6116509,120.995276
node,Uncle John's,,06:00-00:00,14.614432,120.9912119
node,Unnamed Convenience Store,,08:00-20:00,14.5941306,120.979973
node,7-Eleven,,24/7,14.6113185,120.9942571
node,SM Hypermarket,,,14.6564443,121.0324023
node,Eri-sa Specialty Store,,,14.7418708,121.041666
node,Robinsons Supermarket,,,14.5911857,121.05935
node,Savemore,,,14.6445474,121.074253
node,Robinsons Supermarket,,,14.6631846,121.0684325
node,Savemore,,,14.6065212,121.018828
node,Lawson,,,14.575682,120.9874871
node,K Plaza Supermarket,,,14.6259327,121.037226
node,7-Eleven,,24/7,14.5687626,120.9853631
node,Ever Supermarket,,,14.6091573,120.979131
node,7-Eleven,,24/7,14.5733452,120.9820652
node,7-Eleven,,24/7,14.5736793,120.9811771
node,Uncle John's,,24/7,14.5729518,120.9909613
node,7-Eleven,,24/7,14.5740525,120.9903845
node,San Mig Food Ave.,,24/7,14.6066468,121.0792997
node,Uncle John's,,24/7,14.6132351,121.0010306
node,Ever Gotesco Supermarket,,,14.678318,121.0862604
node,Alpha Grocer's,,,14.665628,121.0811386
node,GL Supermarket,,,14.6403226,121.0169216
node,Highmart Supermarket,,07:00-22:00,14.6110966,121.0050597
node,Uncle John's,,06:00-00:00,14.735528,121.0578441
node,Unnamed Convenience Store,,08:00-20:00,14.6822723,121.0548856
node,Unnamed Convenience Store,,08:00-20:00,14.6825993,121.0553067
node,Siena Store,,,14.6820868,121.0545893
node,Unnamed Convenience Store,,08:00-20:00,14.6810295,121.0532575
node,Unnamed Convenience Store,,08:00-20:00,14.6794851,121.0539664
node,Unnamed Convenience Store,,08:00-20:00,14.6766601,121.0532038
node,Unnamed Convenience Store,,08:00-20:00,14.6822172,121.0547689
node,Unnamed Convenience Store,,08:00-20:00,14.6816289,121.0549058
node,Gem Karen Store,,,14.6861828,121.0632661
node,Alexkmine General Merchandise,,,14.6862743,121.0629851
node,EasyDay Shop,,,14.6396103,121.00962
node,Rose-Ma Sari Sari Store,,,14.6259844,121.0685568
node,The Marketplace,,,14.6428445,121.0743939
node,Treats,,06:00-22:00,14.6464715,121.0750773
node,7-Eleven,,24/7,14.618574,121.0518217
node,7-Eleven,,24/7,14.6292097,121.0342977
node,Bee Tin Grocery,,,14.6011279,120.9760773
node,7-Eleven,,24/7,14.627895,121.0042334
node,Robinsons Department Store and Supermarket,,,14.6088209,120.9728207
node,Lawson,,24/7,14.5922241,121.0600539
node,7-Eleven,,24/7,14.688129,121.0319784
node,SM Hypermarket,,,14.6179811,121.0009953
node,Unnamed Convenience Store,,08:00-20:00,14.6818313,121.0323812
node,SM Savemore,,,14.601542,120.9814971
node,7-Eleven,,24/7,14.7164012,121.0406815
node,7-Eleven,,24/7,14.5972985,120.9764217
node,7-Eleven,camera,24/7,14.6007364,120.9847973
node,4 Yeps Store,,,14.6007807,120.9862527
node,Uncle John's,,24/7,14.59738,120.9844791
node,Unnamed Convenience Store,,08:00-20:00,14.6006596,120.9867209
node,Unnamed Convenience Store,,08:00-20:00,14.5584271,120.984066
node,Robinsons Supermarket,,,14.6104087,121.0808835
node,Robinsons Supermarket,,Mo-Su 08:00-22:00,14.7363941,121.0565618
node,7-Eleven,,24/7,14.5991763,120.9839885
node,Mary's Corner Grocery Store,,,14.5992587,120.9835248
node,Demarge Store,,,14.5922028,121.0198632
node,7-Eleven,,24/7,14.6003178,121.0134923
node,7-Eleven,,24/7,14.635693,121.0308012
node,Shop Ko Store,,,14.6479318,121.0274969
node,Progressive Grocery,,,14.5967695,120.9830647
node,7-Eleven,,24/7,14.6463072,121.0478164
node,7-Eleven,,24/7,14.6380495,121.038464
node,Bacood Police Station,,,14.5904792,121.0207744
node,Uncle John's,,24/7,14.5700305,120.9859673
node,7-Eleven,,24/7,14.5716674,120.9859749
node,Unnamed Convenience Store,,08:00-20:00,14.601056,121.0793342
node,7-Eleven,,24/7,14.6093843,121.0483879
node,7-Eleven,,24/7,14.6016623,120.9887199
node,Barangay 329 Hall,,,14.606738,120.980783
node,Arranque Fire Brigade,,24/7,14.602565,120.9779249
node,Barangay 260 Outpost,,,14.6057277,120.9776802
node,7-Eleven,,24/7,14.623053,120.9829998
node,Gloria Nery Sari Sari Store,,,14.5932654,121.0187127
node,Uncle John's,,06:00-00:00,14.5662301,120.9932503
node,7-Eleven,,24/7,14.6036598,120.9806658
node,"New Millenium Fire & Rescue Volunteers Assoc., Inc.",,,14.6355699,121.003288
node,FamilyMart,,24/7,14.6084104,121.0814115
node,Unnamed Convenience Store,guard,08:00-20:00,14.6864954,121.0628873
node,abandoned building,,,14.6055935,121.0192436
node,7-Eleven,,24/7,14.6620613,121.0588507
node,Unnamed Convenience Store,,08:00-20:00,14.5989723,120.983977
node,Uncle John's,,06:00-00:00,14.6296887,121.0161558
node,7-11,,,14.6464361,121.0527379
node,7-Eleven,,24/7,14.6498534,121.0747234
node,Ajaycom General Merchandise,,,14.6450151,121.0521857
node,7-Eleven,,24/7,14.6445084,121.0499364
node,SMR Grocery,,,14.6787916,121.0180839
node,Wellcome Supermarket,,,14.6242892,121.0316587
node,sari sari shop,,,14.6420588,121.0738179
node,Uncle John's,,06:00-00:00,14.6716211,121.0410098
node,Isko Foodie,,,14.6601727,121.0675928
node,Aida's Store,,,14.6604684,121.074822
node,Unnamed Convenience Store,,08:00-20:00,14.6493923,121.0643518
node,Unnamed Convenience Store,,08:00-20:00,14.650198,121.0640258
node,Unnamed Convenience Store,,08:00-20:00,14.650204,121.0639262
node,Unnamed Convenience Store,,08:00-20:00,14.6501389,121.0624444
node,Unnamed Convenience Store,,08:00-20:00,14.6501667,121.0624722
node,Unnamed Convenience Store,,08:00-20:00,14.6501667,121.0625556
node,Unnamed Convenience Store,,08:00-20:00,14.6501389,121.064
node,Unnamed Convenience Store,,08:00-20:00,14.645045,121.0733803
node,Unnamed Convenience Store,,08:00-20:00,14.6473354,121.074209
node,Unnamed Convenience Store,,08:00-20:00,14.6476237,121.0741646
node,FamilyMart,,24/7,14.6275511,121.0642964
node,Uncle John's,,24/7,14.634514,121.0720823
node,Monterey Community Market,,,14.6429695,121.0595908
node,Unnamed Convenience Store,,08:00-20:00,14.706037,121.0343609
node,Savemore Market,,Mo-Su 09:00-21:00,14.6229916,121.0560677
node,Super 8,,,14.6664974,121.0425559
node,Alcoben Trading,,,14.6979166,121.1088111
node,7-Eleven,,24/7,14.5711864,120.9843479
node,Uncle John's,,24/7,14.6133776,121.0348191
node,Unnamed Convenience Store,,08:00-20:00,14.6636224,121.0018565
node,Korean Store,,,14.6857181,121.0901577
node,Santa Cruz Fire Brigade,,24/7,14.6016045,120.9804456
node,Neighborhood Wholesale,,,14.5737765,121.0034817
node,7-Eleven,,24/7,14.5737219,121.0037291
node,7-Eleven,,24/7,14.6176949,120.9950178
node,Heaven Store,,,14.5833054,121.0137549
node,Balai Pandesal,,,14.5818002,121.0125309
node,7-Eleven,,24/7,14.5806187,121.0121979
node,Humble Store,,,14.5798631,121.0125412
node,Cadey Store,,,14.5797878,121.0125698
node,Joe's Store,,,14.5802069,121.0124429
node,Decara Grocery,,,14.5805502,121.0133774
node,Corinthian Village Mart,,,14.5955701,121.0653225
node,Daily Supermarket,,,14.6210436,121.0638211
node,FamilyMart,,,14.684449,121.0770312
node,7-Eleven,,24/7,14.5711412,120.9880865
node,Circle K,,24/7,14.5745615,120.9848757
node,Uncle John's,,06:00-00:00,14.6817376,121.085432
node,,camera,,14.5831973,120.9776771
node,7-Eleven,,24/7,14.636362,121.0729496
node,7-Eleven,,24/7,14.6404522,121.0738533
node,MiniMart,,,14.6377016,121.0741692
node,Unnamed Convenience Store,,08:00-20:00,14.6821001,121.0545622
node,Unnamed Convenience Store,,08:00-20:00,14.673447,121.0490048
node,Alfamart,,24/7,14.6328454,121.0745833
node,7-Eleven,,24/7,14.5784246,120.9931034
node,,camera,,14.6156099,121.0741124
node,Isetann Supermarket,,Mo-Su 09:00-21:00,14.6228546,121.0534223
node,7-Eleven,,24/7,14.5758875,120.9880283
node,7-Eleven,,24/7,14.5760932,120.9885764
node,Uncle John's,,24/7,14.5789616,120.9875624
node,Uncle John's,,06:00-00:00,14.607648,121.081913
node,7-Eleven,,24/7,14.6096381,121.0814863
node,Mary Emanuel Store,,,14.6427945,121.0609631
node,Unnamed Convenience Store,,08:00-20:00,14.6864171,121.0852719
node,7-Eleven,,24/7,14.6637994,121.0697373
node,BestStop,,,14.6995695,121.0584829
node,Uncle John's,,06:00-00:00,14.6362802,121.0274432
node,7-Eleven,,24/7,14.6088278,121.0038183
node,7-Eleven,,24/7,14.6054771,120.9884312
node,7-Eleven,,24/7,14.6122577,121.0085877
node,Super 8,,,14.6019874,120.9879804
node,7-Eleven,,24/7,14.6045624,120.9876564
node,7-Eleven,,24/7,14.605124,120.9818818
node,AIDA STORE,,,14.604703,120.9894074
node,Uncle John's,,24/7,14.6032263,120.9888163
node,7-Eleven,,24/7,14.6047691,120.9895914
node,Unnamed Convenience Store,,08:00-20:00,14.6046301,120.9882858
node,Unnamed Convenience Store,,08:00-20:00,14.6029524,120.990243
node,7-Eleven,,24/7,14.6024509,120.9904248
node,Injoy Negosyong Bayan,,,14.6046326,120.9879075
node,Lora's Store,,,14.6035044,120.9901689
node,JB Mobile Zone,,,14.6044135,120.9878823
node,Unnamed Convenience Store,,08:00-20:00,14.6052458,120.9886441
node,Barangay 395 Zone 41 Hall,,,14.604937,120.9871372
node,Sari-sari store,,,14.6051717,120.986765
node,7-Eleven,,24/7,14.6032901,120.988557
node,Mary Jo Refreshment & Trading,,,14.6030804,120.9887441
node,Fisher Supermarket,,,14.6339768,121.0199457
node,7-Eleven,,24/7,14.6037046,120.9661889
node,Korean Store,,,14.6365809,121.0285444
node,Family Mart,,,14.6294859,121.033962
node,The Green Company Organic + Natural,,,14.6393837,121.0008749
node,Jia Bao Mini Mart,,,14.6332188,121.0017238
node,7-Eleven,,24/7,14.6314081,121.0024919
node,Green Mart,,,14.6369138,121.029858
node,Merly Store,,,14.6307645,121.0411644
node,Bolex Store,,,14.636955,121.0520148
node,Sarang Mart,,,14.6429906,121.0540756
node,Momsmart,,,14.6652714,121.0809189
node,Family Mart,,,14.6653574,121.0811006
node,,camera,,14.5863501,121.0041708
node,7-Eleven,,24/7,14.5785841,121.0002478
node,Uncle John's,,24/7,14.5927112,121.0595945
node,7-Eleven,,24/7,14.6931371,121.0297613
node,Ever,,,14.6934671,121.0293485
node,7-Eleven,,24/7,14.6076589,121.0797077
node,7-Eleven,,24/7,14.607758,120.9836957
node,ASSI Mariner's Korean Mart,,,14.5751943,120.9805294
node,7-Eleven,,24/7,14.5752391,120.9806253
node,Mikro,,,14.6996294,121.0634435
node,10Q,,,14.6996909,121.0661203
node,Savemore,,,14.5673424,120.9922679
node,Lawson,,,14.5877739,120.9852197
node,7-Eleven,,24/7,14.5883141,120.9848578
node,Sibama Police Community Precinct 3,,,14.6210066,120.9921011
node,Uncle John's,,24/7,14.572181,120.9839606
node,7-Eleven,,24/7,14.5980241,120.9832304
node,FamilyMart,,24/7,14.6227327,121.0522307
node,7-Eleven,,24/7,14.6231309,121.0530901
node,Mamicris's Store,,,14.686093,121.0699629
node,Picadilly Minimart,,,14.5775883,120.9876786
node,Robinsons Supermarket,,Mo-Su 08:00-20:00,14.576475,120.983278
node,Gallano Store,,,14.6163591,121.0511593
node,7-Eleven,,24/7,14.6087681,120.9939916
node,Lawson,,,14.599656,120.981165
node,Gandara Police Community Precinct,,24/7,14.600051,120.97719
node,Ongpin-Gandara-Tetuan Volunteer Fire Brigade,,24/7,14.6003078,120.9772048
node,Barangay 290 Barangay Hall,,24/7,14.5994371,120.9769477
node,Calabash Police Community Precinct,,24/7,14.6114875,121.003199
node,Ever,,Mo-Su 10:00-22:00,14.6101861,120.9954232
node,7-Eleven,,24/7,14.6106006,120.9962655
node,Loreta's,,Mo-Su 10:00-23:00,14.6098578,121.0075546
node,Alfamart,,07:00-22:00,14.6100962,120.9957509
node,7-Eleven,,24/7,14.5976275,120.9715871
node,7-Eleven,,24/7,14.5983231,120.9864254
node,Imart Pharmacy,,24/7,14.5979318,120.9847908
node,Khem & Floor,,,14.5973925,120.9844649
node,Unnamed Convenience Store,,08:00-20:00,14.5962427,120.9842946
node,Uncle John's,,24/7,14.5978741,120.9843042
node,Armia's Store,,,14.5992024,120.9886316
node,Jimmy's Grocery & Canteen,,,14.6004519,120.9873313
node,Hassan Mini Store,,,14.5967403,120.9849475
node,Liberty Cooked Ham & Food Supply,,,14.5977364,120.982485
node,7-Eleven,,24/7,14.5995076,120.9729697
node,7-Eleven,,24/7,14.6002795,120.9753186
node,Mightee Mart,,,14.6020091,121.011863
node,Jon Mart,,,14.6309186,121.0029093
node,7-Eleven,,24/7,14.6239402,121.0077412
node,Soya Fresh Food Mart,,,14.6281653,121.0042248
node,Malate Fire Volunteer and Rescue Squad,,,14.5685725,120.985379
node,Puregold Jr.,,,14.6020352,120.9928779
node,Alpha Fire Brigade,,,14.62917,120.9657
node,B.M. Domingo Brigade,,,14.60462,120.96659
node,Bambang-Masangkay-Abad Santos Volunteer Fire Brigade,,,14.6101974,120.9798307
node,Blue Dragon Fire and Rescue,,,14.62868,120.97036
node,Central Downtown Firefighters,,,14.6087189,120.9812835
node,Central Sampaloc Fire and Rescue Volunteer Brigade,,,14.61812,120.99085
node,Central San Nicolas Fire Brigade,,,14.5988941,120.9689256
node,Central Tondo Volunteer Fire Brigade,,,14.61262,120.96751
node,Chinatown Volunteers,,,14.59976,120.97698
node,Dagupan Volunteer Fire Brigade,,,14.61122,120.97259
node,Divisoria Volunteer Firefighters,,,14.603694,120.97136
node,Binondo Paco Fire Search and Rescue Brigade,,,14.6007331,120.9752092
node,G. Perfecto Volunteer Fire Brigade,,,14.61281,120.97149
node,Hometown Volunteer,,,14.6042306,120.9758228
node,Maginoo Fire Rescue Volunteer,,,14.6201817,120.9614445
node,Manila Blumentrit Volunteer Fire Brigade,,,14.62246,120.98008
node,Manila DJ Zone 31 Volunteer Fire Brigade,,,14.60553,120.97936
node,Manila Setba Volunteer Fire Brigade,,,14.62028,120.98104
node,New Market Volunteer Fire Brigade,,,14.6073,120.96811
node,North Jose Abad Santos Fire Brigade,,,14.6253727,120.9680041
node,North Tondo Volunteers,,,14.61975,120.9694
node,Pandacan Volunteers,,,14.58585,121.00131
node,Red Cross Fire Brigade,,,14.59132,120.97021
node,Saint Florian Rescue Fire Department,,,14.60748,120.97978
node,San Andres Fire Volunteer Brigade,,,14.5691,121.00378
node,Soler Volunteer Fire Prevention Center,,,14.60217,120.98066
node,Tondo 1 Volunteer Firefighters,,,14.61249,120.97275
node,Tutuban Prime,,,14.6105952,120.9726432
node,West Tondo Volunteer Brigade,,,14.6104606,120.9749231
node,7-Eleven,,24/7,14.6006932,120.9800645
node,7-Eleven,,24/7,14.6051525,120.9806804
node,SM Hypermarket,,,14.6434825,121.0386757
node,SM Depot,,,14.6229785,121.056476
node,Sanford SM Novaliches,,,14.7073652,121.0380351
node,Shoppers' Mart,,Mo-Su 06:00-20:00,14.6006031,120.9755865
node,7-Eleven,,24/7,14.6327452,121.0016542
node,Puregold,,08:00-21:00,14.6062545,120.9711179
node,Puregold,,08:00-19:00,14.6054283,120.9728609
node,Mightee Mart,,,14.6791608,121.081476
node,7-Eleven,,24/7,14.5664928,120.9935764
node,7-Eleven,,24/7,14.565508,120.9861538
node,7-Eleven,,24/7,14.6801481,121.0179815
node,7-Eleven,,24/7,14.6007388,120.9959431
node,Escolta Santa Cruz Fire and Rescue Volunteers,,,14.5988403,120.9799968
node,Donya Masel Store,,Mo-Su 10:00-22:00,14.7235727,121.0277014
node,Unnamed Convenience Store,,08:00-20:00,14.7037872,121.0531533
node,Unnamed Convenience Store,,08:00-20:00,14.70412,121.0531417
node,Unnamed Convenience Store,,08:00-20:00,14.7042358,121.0557686
node,Unnamed Convenience Store,,08:00-20:00,14.7032991,121.0531948
node,7-Eleven,,24/7,14.6183463,121.0101073
node,7-Eleven,,24/7,14.6320534,121.0020723
node,Mandarin Supermarket,,Mo-Su 07:00-22:00,14.6018749,120.9765769
node,Barangay 390 Hall,,24/7,14.5990602,120.9892222
node,7-Eleven,,24/7,14.7089573,121.0629206
node,Puregold Jr,,,14.6342267,121.0390904
node,Puregold Balingasa,,,14.650823,120.9969123
node,Elisa Store,,,14.6526784,121.0803705
node,Jonathan Store,,,14.6526969,121.0814747
node,TrueValue,,,14.6515094,121.075163
node,Gulod Police Community Precinct No. 2,,,14.7168231,121.0404034
node,Puregold,,,14.6571849,121.005686
node,Uncle John's,,24/7,14.5989584,120.9806359
node,Robinsons Supermarket,,,14.684985,121.0778383
node,Dailycare Food Mart,,Mo-Su 09:00-17:30,14.5722531,120.992973
node,7-Eleven,,24/7,14.6402087,120.9919687
node,7-Eleven,,24/7,14.6250146,120.9872988
node,7-Eleven,,24/7,14.6009069,120.9987438
node,Unnamed Convenience Store,,08:00-20:00,14.6012224,121.000353
node,Robinsons Supermarket,,,14.5870916,120.9958185
node,Uncle John's,,06:00-00:00,14.6911728,121.1010618
node,7-Eleven,,24/7,14.5909511,121.005479
node,FILHAI Multi Purpose Cooperative,,Mo-Su 07:30-19:30,14.6823654,121.0957917
node,Mercado,,,14.6502588,121.0755039
node,YAKULT,,,14.7139744,121.0613978
node,7-Eleven,,24/7,14.5920301,120.9738827
node,7-Eleven,,24/7,14.5910892,120.9767363
node,Baby Garent,,,14.6862216,121.0240478
node,7-Eleven,,24/7,14.5720225,120.9837531
node,Honey residence,,,14.6051905,120.9929638
node,7-Eleven,,24/7,14.6637995,121.0221079
node,Uncle John's,,24/7,14.6252738,121.0607901
node,MJV Store,,,14.6778354,121.0717079
node,7-Eleven,,24/7,14.6082382,120.9878171
node,Uncle John's,,24/7,14.6081005,120.987921
node,7-Eleven,,24/7,14.7039952,121.0373747
node,Ionnel Sari Sari Store,,,14.6820441,121.0324439
node,Fida Store,,,14.6773124,121.0719069
node,Alicia agahan Store,,,14.7142334,121.0416683
node,Uncle John's,,24/7,14.657736,121.0067372
node,7-Eleven,,24/7,14.6227016,121.0552943
node,Dee Gr88t Value Mart,,,14.6319702,120.9953154
node,Puregold Gagalangin,,,14.6226226,120.9723245
node,7-Eleven,,24/7,14.602359,121.0162219
node,Uncle John's,,24/7,14.5703958,120.9846914
node,Uncle John's,,24/7,14.5799057,121.0060267
node,Task Force Commo,,,14.6975409,121.0878743
node,7-Eleven,,24/7,14.6150073,121.0617186
node,Puregold Jr.,,,14.6376349,120.996532
node,Uncle John's,,24/7,14.6377767,120.9957137
node,7-Eleven,,24/7,14.6209012,121.00947
node,7-Eleven,,24/7,14.6289665,120.9740462
node,Mightee Mart,,24/7,14.7001668,121.0347421
node,7-Eleven,,24/7,14.6609254,121.0202416
node,Congressional ave Supermarket,,,14.6586721,121.0203185
node,Savemore smc jackman,,,14.6578418,121.020956
node,Dali,,07:00-22:00,14.6462645,121.059286
node,7-Eleven,,24/7,14.5705313,120.9923095
node,SM Supermarket,,Mo-Su 09:00-22:00,14.6181842,120.9861839
node,Robinsons Supermarket,,Mo-Su 10:00-22:00,14.7054456,121.0825813
node,Police Community Precinct 1,,,14.6174997,121.00176
node,Rjd warehouse,,,14.7116964,121.0250533
node,Savemore,,,14.7216343,121.040349
node,Bayad Center,,,14.6793107,121.0808681
node,7-Eleven,,24/7,14.6267963,120.9732811
node,Barangay 432 Zone 44 Hall,,,14.60741,120.996784
node,Uncle John's,,24/7,14.6345081,121.0748901
node,Circle K,,24/7,14.5662715,120.9977112
node,Police Palm Plaza,,,14.5732756,120.981093
node,7-Eleven,,24/7,14.5966499,120.9897329
node,Uncle John's,,24/7,14.6060644,120.9878938
node,Grocer,,,14.6318183,121.0490509
node,Milda House,,,14.7071191,121.0971218
